# x_m,y_m,w_tr_right_m,w_tr_left_m
853,227.63,4,4
857.49,226.59,4,4
862,225.73,4,4
866.54,225.01,4,4
871.1,224.43,4,4
875.66,223.96,4,4
880.25,223.59,4,4
884.85,223.28,4,4
889.45,223.04,4,4
894.06,222.84,4,4
898.64,222.67,4,4
903.24,222.53,4,4
907.84,222.39,4,4
912.45,222.25,4,4
917.05,222.12,4,4
921.64,222.01,4,4
926.24,221.87,4,4
930.86,221.76,4,4
935.45,221.65,4,4
940.07,221.53,4,4
944.66,221.41,4,4
949.26,221.3,4,4
953.85,221.19,4,4
958.48,221.07,4,4
963.07,220.95,4,4
967.67,220.83,4,4
972.26,220.72,4,4
976.87,220.59,4,4
981.47,220.47,4,4
986.08,220.34,4,4
990.69,220.2,4,4
995.27,220.08,4,4
999.88,219.93,4,4
1004.5,219.81,4,4
1009.1,219.65,4,4
1013.7,219.52,4,4
1018.3,219.37,4,4
1022.9,219.21,4,4
1027.5,219.07,4,4
1032.1,218.9,4,4
1036.7,218.75,4,4
1041.3,218.58,4,4
1045.9,218.42,4,4
1050.5,218.25,4,4
1055.1,218.09,4,4
1059.7,217.92,4,4
1064.3,217.75,4,4
1068.9,217.58,4,4
1073.5,217.41,4,4
1078.1,217.24,4,4
1082.7,217.07,4,4
1087.3,216.9,4,4
1091.9,216.72,4,4
1096.5,216.54,4,4
1101.1,216.36,4,4
1105.7,216.17,4,4
1110.3,215.98,4,4
1114.9,215.77,4,4
1119.5,215.56,4,4
1124.1,215.36,4,4
1128.7,215.14,4,4
1133.3,214.92,4,4
1137.9,214.7,4,4
1142.5,214.48,4,4
1147.1,214.26,4,4
1151.7,214.04,4,4
1156.3,213.82,4,4
1160.9,213.61,4,4
1165.5,213.41,4,4
1170.1,213.21,4,4
1174.7,213.02,4,4
1179.3,212.84,4,4
1183.9,212.67,4,4
1188.6,212.51,4,4
1193.1,212.36,4,4
1197.8,212.21,4,4
1202.4,212.08,4,4
1206.9,211.94,4,4
1211.5,211.81,4,4
1216.1,211.7,4,4
1220.7,211.6,4,4
1225.3,211.51,4,4
1230,211.48,4,4
1234.6,211.44,4,4
1239.1,211.48,4,4
1243.7,211.53,4,4
1248.3,211.66,4,4
1252.9,211.88,4,4
1257.5,212.2,4,4
1262.1,212.62,4,4
1266.6,213.21,4,4
1271.1,214,4,4
1275.6,215.03,4,4
1279.3,216.14,4,4
1282.4,217.32,4,4
1284.8,218.42,4,4
1287.1,219.7,4,4
1288.9,220.96,4,4
1290.6,222.3,4,4
1292.1,223.7,4,4
1293.5,225.21,4,4
1294.6,226.74,4,4
1295.6,228.38,4,4
1296.5,230.16,4,4
1297.2,232,4,4
1297.8,233.98,4,4
1298.3,236.21,4,4
1298.7,238.69,4,4
1298.8,241.91,4,4
1298.8,245.13,4,4
1298.5,249.08,4,4
1297.9,253.63,4,4
1297.1,258.15,4,4
1296.4,262.68,4,4
1295.8,267.24,4,4
1295.3,271.82,4,4
1295.2,275.68,4,4
1295.4,279.53,4,4
1295.7,282.16,4,4
1296.2,284.78,4,4
1296.8,287.12,4,4
1297.7,289.41,4,4
1298.6,291.49,4,4
1299.8,293.48,4,4
1301,295.39,4,4
1302.5,297.16,4,4
1304,298.8,4,4
1305.8,300.44,4,4
1307.8,301.94,4,4
1310,303.35,4,4
1312.5,304.69,4,4
1315.2,305.92,4,4
1318.2,307.03,4,4
1321.6,308.03,4,4
1325.2,308.79,4,4
1329,309.37,4,4
1333.1,309.74,4,4
1337.5,309.85,4,4
1342,309.69,4,4
1346.4,309.27,4,4
1350.9,308.58,4,4
1355.3,307.65,4,4
1359.7,306.46,4,4
1364.1,305.03,4,4
1368.4,303.37,4,4
1372.6,301.5,4,4
1376.7,299.43,4,4
1380.7,297.15,4,4
1384.5,294.67,4,4
1388.2,291.98,4,4
1391.8,289.1,4,4
1395.2,286.02,4,4
1398.5,282.78,4,4
1401.5,279.36,4,4
1404.4,275.78,4,4
1407,272.03,4,4
1409.4,268.12,4,4
1411.6,264.1,4,4
1413.5,260.06,4,4
1415.1,255.81,4,4
1416.5,251.45,4,4
1417.6,247.04,4,4
1418.5,242.57,4,4
1419.1,238.02,4,4
1419.4,233.45,4,4
1419.5,228.94,4,4
1419.3,224.43,4,4
1418.9,220.01,4,4
1418.2,215.44,4,4
1417.3,210.92,4,4
1416.1,206.48,4,4
1414.7,202.1,4,4
1413.2,197.81,4,4
1411.3,193.61,4,4
1409.3,189.46,4,4
1407.1,185.42,4,4
1404.8,181.49,4,4
1402.2,177.67,4,4
1399.5,173.95,4,4
1396.7,170.35,4,4
1393.7,166.88,4,4
1390.6,163.52,4,4
1387.4,160.26,4,4
1384,157.12,4,4
1380.5,154.12,4,4
1377,151.25,4,4
1373.3,148.5,4,4
1369.5,145.87,4,4
1365.6,143.38,4,4
1361.7,141.04,4,4
1357.7,138.83,4,4
1353.6,136.76,4,4
1349.4,134.82,4,4
1345.2,133.02,4,4
1340.9,131.33,4,4
1336.6,129.78,4,4
1332.2,128.36,4,4
1327.8,127.06,4,4
1323.4,125.86,4,4
1318.9,124.77,4,4
1314.4,123.78,4,4
1309.9,122.87,4,4
1305.4,122.03,4,4
1300.9,121.27,4,4
1296.3,120.57,4,4
1291.8,119.93,4,4
1287.2,119.35,4,4
1282.7,118.83,4,4
1278.1,118.38,4,4
1273.5,117.98,4,4
1268.9,117.64,4,4
1264.3,117.34,4,4
1259.7,117.09,4,4
1255.1,116.89,4,4
1250.5,116.72,4,4
1245.9,116.56,4,4
1241.3,116.45,4,4
1236.7,116.33,4,4
1232.1,116.24,4,4
1227.5,116.15,4,4
1222.9,116.08,4,4
1218.1,116.04,4,4
1213.6,115.96,4,4
1209,115.96,4,4
1204.3,115.92,4,4
1199.8,115.87,4,4
1195.2,115.87,4,4
1190.6,115.87,4,4
1186,115.87,4,4
1181.4,115.87,4,4
1176.8,115.87,4,4
1172.1,115.84,4,4
1167.6,115.78,4,4
1163,115.78,4,4
1158.4,115.78,4,4
1153.8,115.78,4,4
